Sample,Acromegalomma,Alcyonidium,Alvania,Americhelidium_shoemakeri,Ampelisca_careyi,Ampelisca_hancocki,Ampharete,Amphiodia,Amphiodia_urtica_periercta,Aoroides,Aoroides_inermis,Aphelochaeta_glandaria_Cmplx,Aricidea_Acmira_catherinae,Aricidea_Acmira_lopezi,Axinopsida_serricata,Bathymedon,Boccardia_pugettensis,Byblis,Calocarides,Celleporella_hyalina,Chaetoderma,Chaetozone_camasetosa,Chaetozone_pugettensis,Chirimia,Chondrochelia_savignyi,Cistenides_granulata,Clinocardium,Clymenura_gracilis,Clytia,Compsomyax,Cossura_bansei,Cossura_pygodactylata,Decamastus_gracilis,Desdimelita_desdichada,Diastylis_pellucida,Diastylis_santamariensis,Diopatra,Dipolydora_cardalia_socialis_Cmplx,Dyopedos,Edwardsia,Ennucula_tenuis,Eteone,Euclymeninae,Eudorellopsis_longirostris,Eumida_longicornuta,Euphilomedes_carcharodonta,Euphilomedes_producta,Exogone_dwisula,Exogone_Exogone_lourei,Galathowenia_oculata,Glycera_americana,Glycera_nana,Glycinde,Glycinde_armigera,Glycinde_picta,Heteromastus_filobranchus,Heterophoxus_affinis,Hiatella_arctica,Hippomedon,Keenaea_centifilosa,Kurtiella_tumida,Lanassa_gracilis,Leitoscoloplos_pugettensis,Leptostylis,Leukoma_staminea,Levinsenia_gracilis,Lucinoma_annulatum,Lumbrineris_californiensis,Lyonsia_californica,Macoma_carlottensis,Macoma_golikovi,Macoploma_yoldiformis,Magelona_longicornis,Mediomastus,Metaphoxus_frequens,Microclymene,Micronephthys_cornuta,Micropodarke_dubia,Micrura,Mitrella_gausapata,Mya_arenaria,Nassarius_mendicus,Neotrypaea,Nephasoma,Nephtys_ferruginea,Notomastus_hemipodus,Nuculana_minuta,Nutricola_lordi,Odostomia,Onuphidae,Onuphis,Onuphis_elegans,Onuphis_iridescens,Orchomenella_pacifica,Owenia_johnsoni,Paraphoxus,Paraprionospio,Parvilucina_tenuisculpta,Pentamera,Pholoe_minuta,Pholoides_asperus,Phoronis,Photis,Phyllochaetopterus_prolifica,Phyllodoce,Pinnixa_schmitti,Pista_brevibranchiata,Pista_estevanica,Platynereis_bicanaliculata,Podarkeopsis_glabrus,Prionospio_lighti,Prionospio_steenstrupi,Rhepoxynius_boreovariatus,Rhodine_bitorquata,Scoletoma,Scoloplos_acmeceps,Sigambra_nr_bassi,Solamen_columbianum,Spiophanes_berkeleyorum,Sternaspis,Syllis_heterochaeta,Tellina_modesta,Terebellides,Terebellides_californica,Thysanocardia,Travisia_brevis,Tubulanus_polymorphus,Turbonilla,Westwoodilla_tone
Long-term_2019_119_1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,2,2,0,0,6,0,0,7,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,74,0,0,0,41,0,9,0,0,1,0,0,0,0,0,0,0,17,11,35,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0
Long-term_2019_13_1,0,1,92,0,0,1,1,0,1,2,2,3,0,0,65,0,2,1,0,1,0,0,0,0,31,0,0,0,1,1,0,0,15,0,0,0,6,23,0,1,3,0,6,0,2,58,4,3,0,3,0,2,0,0,3,15,0,0,1,0,59,0,11,0,1,0,0,0,5,1,0,1,2,101,0,0,0,0,10,4,0,1,2,0,3,1,0,81,5,1,0,2,0,0,0,0,2,11,0,0,0,4,3,47,2,0,0,1,1,0,0,2,0,0,25,0,0,1,6,0,0,3,0,0,3,0,1,10,20
Long-term_2019_19_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,7,0,1,6,0,0,0,0,0,0,2,0,0
Long-term_2019_191_1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,164,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,2,0,0,1,0,0,0,3,0,4,1,0,0,0,0,0,2,0,0,4,3,0,0,14,0,0,0,15,0,17,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,11,0,3,0,3,1,0,0,0,0,0,0,0,0,0
Long-term_2019_209R_1,0,0,0,4,1,10,0,0,0,0,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,15,0,1,0,4,5,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,8,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,1,7,13,0,41,0,0,0,4,5,0,0,1,1,0,0,0,3,1
Long-term_2019_21_1,0,0,10,0,0,0,2,0,0,0,0,3,0,0,468,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,0,0,43,0,0,17,10,7,0,0,85,35,0,0,0,0,7,0,4,0,38,0,0,0,0,8,0,1,0,0,1,0,0,1,5,3,0,1,102,0,3,5,0,7,1,0,1,1,0,15,0,0,23,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,10,0,0,0,0,0,3,5,0,0,100,1,0,0,2,0,0,0,0,1,0,0,1,12,1
Long-term_2019_222_1,0,0,4,0,2,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Long-term_2019_252_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2,0,2,0,0,44,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0
Long-term_2019_265_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0
Long-term_2019_281_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,7,1,0,0,0,0,0,1,0,0,2,0,0,0,18,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,5,3,14,0,0,0,0,0,0,0,0,4,0,0,0,34,0,0,0,0,0,3,0,0,40,0,0,0,0,0,0,1,0,0
Long-term_2019_29_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,35,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,183,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Long-term_2019_3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,30,1,0,0,1,0,0,1,0,2,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,1,0,0,0,0,0,54,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Long-term_2019_305R_1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,82,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,97,0,14,0,0,0,0,0,0,0,0,0,1
Long-term_2019_34_1,0,0,0,0,0,0,0,13,7,0,0,203,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,75,0,0,2,0,0,0,0,0,9,0,0,0,3,2,0,0,0,58,0,0,0,0,0,0,0,0,7,0,0,1,0,0
Long-term_2019_38_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,1,0,0,4,0,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0
Long-term_2019_4_1,0,0,0,0,0,0,0,0,1,0,0,2,0,6,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,1,28,0,1,0,0,0,0,0,0,2,3,2,0,33,2,0,0,0,21,0,0,0,0,22,0,0,0,6,0,0,0,14,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,18,47,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,2,1,0
Long-term_2019_40_1,0,1,5,0,0,0,0,1,24,0,0,21,0,0,87,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,4,10,1,0,2,3,0,0,0,0,10,1,1,0,0,0,0,0,0,4,0,1,0,0,1,0,0,2,3,3,2,9,10,0,0,0,0,1,0,3,0,2,0,2,27,0,0,3,0,0,1,1,0,0,0,1,12,0,1,0,0,0,0,1,0,2,0,0,0,1,7,0,1,37,0,0,1,2,0,0,0,0,1,1,0,0,3,0
Long-term_2019_40005_1,0,1,0,0,0,0,0,0,0,0,0,575,0,0,54,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,1,0,1,0,2,0,0,6,1,6,0,0,0,0,0,0,0,0,0,5,1,7,66,0,0,0,0,3,0,0,0,0,2,6,0,1,0,0,0,0,3,0,0,2,0,2,1,0,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,30,40,0,1,0,0,0,0,4,1,0,0,0,4,1,0,0,0,94,0,0,0,1,1,0,0,1,0,0,0,1,3,0
Long-term_2019_40006_1,0,1,25,4,21,3,2,0,0,0,0,0,0,0,8,0,0,15,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,7,16,2,17,7,0,1,0,0,4,0,0,0,1,0,1,1,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,17,2,0,0,1,0,0,0,0,77,0,0,6,0,0,56,0,0,0,2,2,0,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Long-term_2019_40007_1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,157,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,17,0,0,0,0,12,0,1,1,8,0,4,12,0,11,0,1,1,0,0,0,0,0,5,0,7,0,0,0,4,0,0,37,0,0,0,216,0,0,0,0,23,13,0,3,0,1,2,15,6,0,5,6,0,0,4,0,6,0,4,55,1,0,2,48,3,0,3,0,2,0,0,1,0,3,0,2,10,0,0,0,35,1,0,0,3,1,3,0,2,9,1
