Sample,Acromegalomma,Alcyonidium,Alvania,Americhelidium_shoemakeri,Ampelisca_careyi,Ampelisca_hancocki,Ampharete,Amphiodia,Amphiodia_urtica_periercta,Aoroides,Aoroides_inermis,Aphelochaeta_glandaria_Cmplx,Aricidea_Acmira_catherinae,Aricidea_Acmira_lopezi,Axinopsida_serricata,Bathymedon,Boccardia_pugettensis,Byblis,Calocarides,Celleporella_hyalina,Chaetoderma,Chaetozone_camasetosa,Chaetozone_pugettensis,Chirimia,Chondrochelia_savignyi,Cistenides_granulata,Clinocardium,Clymenura_gracilis,Clytia,Compsomyax,Cossura_bansei,Cossura_pygodactylata,Decamastus_gracilis,Desdimelita_desdichada,Diastylis_pellucida,Diastylis_santamariensis,Diopatra,Dipolydora_cardalia_socialis_Cmplx,Dyopedos,Edwardsia,Ennucula_tenuis,Eteone,Euclymeninae,Eudorellopsis_longirostris,Eumida_longicornuta,Euphilomedes_carcharodonta,Euphilomedes_producta,Exogone_dwisula,Exogone_Exogone_lourei,Galathowenia_oculata,Glycera_americana,Glycera_nana,Glycinde,Glycinde_armigera,Glycinde_picta,Heteromastus_filobranchus,Heterophoxus_affinis,Hiatella_arctica,Hippomedon,Keenaea_centifilosa,Kurtiella_tumida,Lanassa_gracilis,Leitoscoloplos_pugettensis,Leptostylis,Leukoma_staminea,Levinsenia_gracilis,Lucinoma_annulatum,Lumbrineris_californiensis,Lyonsia_californica,Macoma_carlottensis,Macoma_golikovi,Macoploma_yoldiformis,Magelona_longicornis,Mediomastus,Metaphoxus_frequens,Microclymene,Micronephthys_cornuta,Micropodarke_dubia,Micrura,Mitrella_gausapata,Mya_arenaria,Nassarius_mendicus,Neotrypaea,Nephasoma,Nephtys_ferruginea,Notomastus_hemipodus,Nuculana_minuta,Nutricola_lordi,Odostomia,Onuphidae,Onuphis,Onuphis_elegans,Onuphis_iridescens,Orchomenella_pacifica,Owenia_johnsoni,Paraphoxus,Paraprionospio,Parvilucina_tenuisculpta,Pentamera,Pholoe_minuta,Pholoides_asperus,Phoronis,Photis,Phyllochaetopterus_prolifica,Phyllodoce,Pinnixa_schmitti,Pista_brevibranchiata,Pista_estevanica,Platynereis_bicanaliculata,Podarkeopsis_glabrus,Prionospio_lighti,Prionospio_steenstrupi,Rhepoxynius_boreovariatus,Rhodine_bitorquata,Scoletoma,Scoloplos_acmeceps,Sigambra_nr_bassi,Solamen_columbianum,Spiophanes_berkeleyorum,Sternaspis,Syllis_heterochaeta,Tellina_modesta,Terebellides,Terebellides_californica,Thysanocardia,Travisia_brevis,Tubulanus_polymorphus,Turbonilla,Westwoodilla_tone
Long-term_2019_40008_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
Long-term_2019_40009_1,0,0,1,0,1,2,2,23,30,0,0,0,0,0,9,0,19,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,15,0,0,1,0,17,0,0,0,0,2,0,0,7,24,0,0,52,2,9,1,2,0,0,0,0,0,0,1,0,12,0,0,2,0,0,2,4,0,0,66,70,0,0,2,0,5,4,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,2,6,0,0,0,4,0,0,4,4,0,0,0,0,1,0,0,7,12,0,0,0,1,9,0,2,1,0,8,0,4,0,0
Long-term_2019_40010_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,6,0,0,0,0,0,2,0,7,0,0,0,0,0,0,17,3,0,0,3,0,0,1,0,0,0,0,6,0,0,0,2,0,0,40,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,2,0,0,0,115,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,7,0,0,22,0,0,0,17,0,0,0,0,1,0,0,1,0,1
Long-term_2019_40011_1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,3,0,2,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,177,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Long-term_2019_40012_1,0,1,17,0,0,0,0,0,0,0,0,5,0,0,0,0,1,6,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,1,0,0,8,1,0,0,6,1,2,0,6,32,5,0,8,1,0,1,2,0,0,0,0,1,6,0,0,0,2,0,0,0,0,23,2,5,0,1,4,15,0,0,0,0,1,0,4,0,1,0,5,22,0,3,2,0,0,2,2,0,0,0,0,152,0,1,2,0,0,80,0,0,0,1,1,0,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,4,0,1
Long-term_2019_40013_1,0,1,4,0,0,0,0,0,1,0,0,62,0,8,33,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,2,0,12,1,3,0,0,0,0,0,0,4,0,0,0,1,13,8,8,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,10,0,1,0,0,0,0,0,1,0,0,132,1,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,2,0,0,0,1,5,3,0,0,121,0,0,0,23,8,0,2,11,0,0,0,1,6,0
Long-term_2019_40015_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Long-term_2019_40016_1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,33,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,35,0,11,0,0,0,0,0,0,94,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0
Long-term_2019_40017_1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,5,0,0,0,0,0,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,3,0,0,1,0,0,0,0,1,2,0,0,0,0,4,1,25,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0
Long-term_2019_40020_1,5,0,11,0,9,0,7,0,0,0,0,0,1,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0,17,1,0,0,1,0,37,0,0,1,0,0,0,0,0,1,1,18,0,5,0,3,0,0,0,0,4,0,0,0,1,4,0,1,0,0,1,1,0,0,0,12,2,8,8,0,8,3,1,0,0,1,7,0,2,6,0,0,0,0,4,0,1,0,3,0,0,0,0,2,0,1,1,1,0,0,2,0,11,0,2,0,0,2,1,1,1
Long-term_2019_40021_1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,34,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,2,0,2,24,0,1,0,0,4,0,0,0,3,0,0,0,0,0,2,0,5,80,0,0,0,1,0,0,0,0,0,0,0,0,2,14,0,0,3,0,55,0,12,4,0,0,0,0,0,0,4,0,0
Long-term_2019_40022_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8,0,0,0,0,6,0,0,0,0,0
Long-term_2019_40025_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6,11,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,30,0,0,0,3,4,0,0,0,10,0,0,0,0,0
Long-term_2019_40026_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-term_2019_40027_1,0,1,65,0,0,0,51,0,2,0,0,0,0,0,36,0,2,7,0,1,0,0,0,0,1,4,3,1,1,0,0,0,0,0,0,5,3,38,0,2,0,1,10,0,9,65,0,16,7,1,0,0,0,2,0,0,0,1,1,0,11,0,3,0,0,0,0,2,1,1,9,1,0,44,1,0,0,4,1,2,4,3,0,1,4,1,0,74,4,0,2,3,0,0,1,0,0,18,0,0,0,0,3,515,2,1,0,0,1,0,2,6,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17
Long-term_2019_40028_1,0,0,2,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Long-term_2019_40029_1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,15,0,2,1,1,1,19,2,0,0,0,22,0,0,0,0,0,0,0,0,15,0,0,1,5,0,0,0,0,1,1,0,0,0,0,4,0,1,4,3,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,4,0,0,0,1,8,1,0,0,24,0,0,0,32,61,0,0,0,0,0,0,4,1,0
Long-term_2019_40030_1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Long-term_2019_40032_1,0,1,0,0,0,0,0,14,13,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,1,8,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,0
Long-term_2019_40034_1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,12,0,24,209,0,4,0,1,1,3,0,0,0,0,0,76,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,27,0,0,2,0,0,0,0,5,2,0,0,0,0,9,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0
Long-term_2019_40036_1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,38,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,15,1,13,0,1,1,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,3,1,48,3,1,0,0,0,7,0,0,0,6,0,0,0,64,1,4,0,0,3,0,0,0,0,48,1,9,0,0,1,3,0,0,2,0,0,3,4,16,0,0,0,0,1,0,0,0,2,1,0,0,10,0,0,0,7,0,0,0,10,0,2,0,1,0,0,0,6,0,1
Long-term_2019_40037_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,3,0,83,0,35,1,0,0,1,0,0,0,0,0,0
Long-term_2019_40038_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,46,0,0,0,0,7,0,3,0,2,3,0,0,0,3,0,0,0,0,1,2,0,0,237,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
Long-term_2019_44_1,0,0,30,0,0,0,0,8,2,0,1,0,0,0,6,0,4,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2,0,4,0,1,0,0,6,82,0,0,2,0,1,0,0,3,0,0,0,0,0,0,4,0,8,0,0,1,1,3,0,0,0,2,2,12,0,0,1,0,1,41,0,0,0,0,7,0,0,0,0,2,0,2,2,0,1,0,2,42,0,0,0,0,0,0,1,1,0,0,14,0,2,18,0,0,7,1,0,1,13,0,0,0,0,0,4,0,1,3,3
Long-term_2019_49_1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,1,0,0
Long-term_2019_52_1,0,1,0,0,0,0,3,31,20,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,0,0,1,0,4,1,11,0,4,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,2,1,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,11,20,0,2,0,3,1,0,0,0,0,4,0,7,0,2
Long-term_2019_BLL009_1,0,1,28,0,0,0,10,4,8,0,0,2,0,0,98,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,2,2,0,0,0,0,2,0,0,2,2,9,0,0,0,0,0,1,38,0,4,0,0,4,3,0,0,0,0,8,0,0,0,1,2,1,0,0,1,4,1,11,61,0,0,2,0,2,7,0,0,0,0,3,9,2,13,4,0,0,0,0,0,0,0,19,5,0,0,7,6,0,0,0,0,0,0,0,2,5,2,0,0,38,0,0,0,37,10,0,1,7,3,0,0,4,2,0
Long-term_2019_HCB003_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,1,1,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,5,0,0,0,4,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,1,0,0,1,0,0
